<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20180518;100001;2323.750000000;2639122
IMOEX;0;20180518;100002;2324.120000000;29393705
IMOEX;0;20180518;100003;2324.200000000;19134159
IMOEX;0;20180518;100004;2324.820000000;19086175
IMOEX;0;20180518;100005;2323.050000000;40559485
IMOEX;0;20180518;100006;2323.440000000;8303869
IMOEX;0;20180518;100007;2323.740000000;5532953
IMOEX;0;20180518;100008;2322.460000000;9526527
IMOEX;0;20180518;100009;2322.870000000;3047008
IMOEX;0;20180518;100010;2322.600000000;3159549
IMOEX;0;20180518;100011;2323.220000000;3595118
IMOEX;0;20180518;100012;2322.600000000;2914391
IMOEX;0;20180518;100013;2322.710000000;8665323
IMOEX;0;20180518;100014;2322.620000000;4898386
IMOEX;0;20180518;100015;2324.850000000;12668587
IMOEX;0;20180518;100016;2324.950000000;3264583
IMOEX;0;20180518;100017;2325.090000000;2286667
IMOEX;0;20180518;100018;2325.270000000;2286054
IMOEX;0;20180518;100019;2325.370000000;2755786
IMOEX;0;20180518;100020;2326.270000000;13418793
IMOEX;0;20180518;100021;2325.540000000;975696
IMOEX;0;20180518;100022;2325.440000000;3978054
IMOEX;0;20180518;100023;2325.450000000;731461
IMOEX;0;20180518;100024;2325.460000000;814313
IMOEX;0;20180518;100025;2325.540000000;623217
IMOEX;0;20180518;100026;2325.710000000;7035685
IMOEX;0;20180518;100027;2323.270000000;6450648
IMOEX;0;20180518;100028;2322.950000000;17517031
IMOEX;0;20180518;100029;2324.040000000;5486600
IMOEX;0;20180518;100030;2323.630000000;2904541
IMOEX;0;20180518;100031;2323.570000000;4852247
IMOEX;0;20180518;100032;2323.570000000;4416551
IMOEX;0;20180518;100033;2323.430000000;3075417
IMOEX;0;20180518;100034;2323.200000000;7277116
IMOEX;0;20180518;100035;2324.080000000;4083184
IMOEX;0;20180518;100036;2324.240000000;2762239
IMOEX;0;20180518;100037;2323.630000000;11353670
IMOEX;0;20180518;100038;2323.530000000;5878341
IMOEX;0;20180518;100039;2323.730000000;6512470
IMOEX;0;20180518;100040;2323.740000000;5522285
IMOEX;0;20180518;100041;2323.640000000;2147523
IMOEX;0;20180518;100042;2323.940000000;2913059
IMOEX;0;20180518;100043;2323.340000000;30030143
IMOEX;0;20180518;100044;2322.740000000;20607190
IMOEX;0;20180518;100045;2323.390000000;10359739
IMOEX;0;20180518;100046;2323.040000000;3391440
IMOEX;0;20180518;100047;2323.310000000;2924330
IMOEX;0;20180518;100048;2323.280000000;3725192
IMOEX;0;20180518;100049;2323.240000000;7772269
IMOEX;0;20180518;100050;2323.320000000;1855916
IMOEX;0;20180518;100051;2323.590000000;38161048
IMOEX;0;20180518;100052;2323.330000000;774407
IMOEX;0;20180518;100053;2323.180000000;3992926
IMOEX;0;20180518;100054;2323.390000000;11577082
IMOEX;0;20180518;100055;2323.650000000;1338970
IMOEX;0;20180518;100056;2323.320000000;1254854
IMOEX;0;20180518;100057;2323.530000000;1422968
IMOEX;0;20180518;100058;2323.550000000;492739
IMOEX;0;20180518;100059;2323.430000000;1150425
IMOEX;0;20180518;100100;2323.370000000;1048533
IMOEX;0;20180518;100101;2323.100000000;4880687
IMOEX;0;20180518;100102;2323.050000000;10192703
IMOEX;0;20180518;100103;2322.770000000;5504463
IMOEX;0;20180518;100104;2322.810000000;10005206
IMOEX;0;20180518;100105;2323.140000000;1352635
IMOEX;0;20180518;100106;2323.110000000;1738494
IMOEX;0;20180518;100107;2323.290000000;768984
