<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
USD000UTSTOM;0;20180518;100000;62.140000000;3000
USD000UTSTOM;0;20180518;100000;62.187500000;1000
USD000UTSTOM;0;20180518;100001;62.180000000;1000
USD000UTSTOM;0;20180518;100001;62.187500000;7000
USD000UTSTOM;0;20180518;100001;62.197500000;12000
USD000UTSTOM;0;20180518;100002;62.147500000;14000
USD000UTSTOM;0;20180518;100002;62.147500000;36000
USD000UTSTOM;0;20180518;100002;62.142500000;50000
USD000UTSTOM;0;20180518;100010;62.170000000;50000
USD000UTSTOM;0;20180518;100012;62.152500000;43000
USD000UTSTOM;0;20180518;100014;62.152500000;35000
USD000UTSTOM;0;20180518;100014;62.147500000;35000
USD000UTSTOM;0;20180518;100019;62.150000000;50000
USD000UTSTOM;0;20180518;100019;62.150000000;50000
USD000UTSTOM;0;20180518;100019;62.150000000;50000
USD000UTSTOM;0;20180518;100019;62.147500000;50000
USD000UTSTOM;0;20180518;100022;62.155000000;104000
USD000UTSTOM;0;20180518;100022;62.155000000;39000
USD000UTSTOM;0;20180518;100022;62.155000000;27000
USD000UTSTOM;0;20180518;100023;62.160000000;30000
USD000UTSTOM;0;20180518;100023;62.165000000;63000
USD000UTSTOM;0;20180518;100023;62.167500000;7000
USD000UTSTOM;0;20180518;100023;62.150000000;10000
USD000UTSTOM;0;20180518;100023;62.147500000;100000
USD000UTSTOM;0;20180518;100024;62.155000000;30000
USD000UTSTOM;0;20180518;100025;62.155000000;70000
USD000UTSTOM;0;20180518;100025;62.160000000;30000
USD000UTSTOM;0;20180518;100025;62.160000000;350000
USD000UTSTOM;0;20180518;100025;62.140000000;33000
USD000UTSTOM;0;20180518;100025;62.140000000;24000
USD000UTSTOM;0;20180518;100025;62.140000000;43000
USD000UTSTOM;0;20180518;100025;62.137500000;68000
USD000UTSTOM;0;20180518;100025;62.132500000;100000
USD000UTSTOM;0;20180518;100025;62.130000000;50000
USD000UTSTOM;0;20180518;100026;62.130000000;50000
USD000UTSTOM;0;20180518;100027;62.125000000;3000
USD000UTSTOM;0;20180518;100027;62.122500000;47000
USD000UTSTOM;0;20180518;100028;62.122500000;2000
USD000UTSTOM;0;20180518;100030;62.147500000;80000
USD000UTSTOM;0;20180518;100031;62.140000000;2000
USD000UTSTOM;0;20180518;100031;62.140000000;4000
USD000UTSTOM;0;20180518;100031;62.140000000;35000
USD000UTSTOM;0;20180518;100031;62.140000000;5000
USD000UTSTOM;0;20180518;100032;62.122500000;31000
USD000UTSTOM;0;20180518;100033;62.137500000;1000
USD000UTSTOM;0;20180518;100037;62.130000000;10000
USD000UTSTOM;0;20180518;100037;62.130000000;65000
USD000UTSTOM;0;20180518;100037;62.135000000;15000
USD000UTSTOM;0;20180518;100037;62.137500000;122000
USD000UTSTOM;0;20180518;100037;62.137500000;77000
USD000UTSTOM;0;20180518;100037;62.140000000;171000
USD000UTSTOM;0;20180518;100037;62.125000000;56000
USD000UTSTOM;0;20180518;100037;62.122500000;10000
USD000UTSTOM;0;20180518;100037;62.122500000;447000
USD000UTSTOM;0;20180518;100037;62.122500000;360000
USD000UTSTOM;0;20180518;100038;62.122500000;50000
USD000UTSTOM;0;20180518;100038;62.122500000;500000
USD000UTSTOM;0;20180518;100038;62.122500000;100000
USD000UTSTOM;0;20180518;100038;62.122500000;50000
USD000UTSTOM;0;20180518;100039;62.122500000;50000
USD000UTSTOM;0;20180518;100039;62.122500000;27000
USD000UTSTOM;0;20180518;100040;62.122500000;168000
USD000UTSTOM;0;20180518;100040;62.125000000;200000
USD000UTSTOM;0;20180518;100040;62.127500000;21000
USD000UTSTOM;0;20180518;100041;62.122500000;50000
USD000UTSTOM;0;20180518;100041;62.122500000;8000
USD000UTSTOM;0;20180518;100041;62.120000000;42000
USD000UTSTOM;0;20180518;100041;62.120000000;50000
USD000UTSTOM;0;20180518;100041;62.122500000;44000
USD000UTSTOM;0;20180518;100041;62.122500000;200000
USD000UTSTOM;0;20180518;100041;62.122500000;45000
USD000UTSTOM;0;20180518;100041;62.125000000;50000
USD000UTSTOM;0;20180518;100041;62.125000000;28000
USD000UTSTOM;0;20180518;100041;62.125000000;164000
USD000UTSTOM;0;20180518;100041;62.125000000;50000
USD000UTSTOM;0;20180518;100042;62.125000000;50000
USD000UTSTOM;0;20180518;100042;62.127500000;23000
USD000UTSTOM;0;20180518;100043;62.127500000;177000
USD000UTSTOM;0;20180518;100043;62.130000000;23000
USD000UTSTOM;0;20180518;100043;62.130000000;50000
USD000UTSTOM;0;20180518;100044;62.125000000;1000000
USD000UTSTOM;0;20180518;100044;62.125000000;200000
USD000UTSTOM;0;20180518;100044;62.125000000;169000
USD000UTSTOM;0;20180518;100044;62.120000000;408000
USD000UTSTOM;0;20180518;100044;62.120000000;8000
USD000UTSTOM;0;20180518;100044;62.120000000;239000
USD000UTSTOM;0;20180518;100044;62.105000000;80000
USD000UTSTOM;0;20180518;100045;62.102500000;50000
USD000UTSTOM;0;20180518;100045;62.100000000;50000
USD000UTSTOM;0;20180518;100046;62.100000000;1000
USD000UTSTOM;0;20180518;100048;62.110000000;30000
USD000UTSTOM;0;20180518;100049;62.110000000;15000
USD000UTSTOM;0;20180518;100049;62.105000000;50000
USD000UTSTOM;0;20180518;100049;62.107500000;50000
USD000UTSTOM;0;20180518;100049;62.102500000;10000
